City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,kastrakion,39.7156,21.6181,34.97,59,0,4.65,GR,1675232160
278,ubinskoye,55.3068,79.6802,5.31,84,40,3.38,RU,1675232160
279,penzance,50.1186,-5.5371,47.08,69,83,19.55,GB,1675232161
280,vallenar,-28.5708,-70.7581,67.05,67,2,2.8,CL,1675232108
281,malatya,38.5,38.0,33.85,100,75,3.44,TR,1675232163
282,izhmorskiy,56.194,86.6414,9.61,88,84,3.11,RU,1675232164
283,garden city,42.3256,-83.331,15.82,83,20,9.22,US,1675231981
284,jalu,29.0331,21.5482,49.8,77,4,10.51,LY,1675232165
285,molteno,-31.3968,26.3625,66.87,60,8,13.0,ZA,1675232166
286,teahupoo,-17.8333,-149.2667,75.16,77,18,16.58,PF,1675231987
287,juegang,32.3174,121.1855,51.98,67,23,22.95,CN,1675232167
288,labuhan,-6.8844,112.2051,82.54,78,100,11.79,ID,1675232168
289,mitu,1.1983,-70.1733,69.94,81,48,1.36,CO,1675232170
290,marsabit,2.3284,37.9899,67.89,68,7,18.68,KE,1675232171
291,east london,-33.0153,27.9116,79.74,73,0,5.75,ZA,1675232173
292,chimbote,-9.0853,-78.5783,69.91,79,100,4.38,PE,1675232132
293,jahangirabad,28.4167,78.1,65.98,48,0,13.06,IN,1675232175
294,taksimo,56.3444,114.8794,6.17,68,100,4.47,RU,1675231936
295,ust-kuyga,70.0167,135.6,-16.29,98,100,8.43,RU,1675232176
296,pacific grove,36.6177,-121.9166,44.65,82,0,4.61,US,1675232177
297,lubao,14.9167,120.55,91.11,57,83,11.9,PH,1675232178
298,takoradi,4.8845,-1.7554,77.05,87,50,1.25,GH,1675232179
299,lavrentiya,65.5833,-171.0,8.49,98,91,4.23,RU,1675232180
300,narsaq,60.9167,-46.05,12.56,94,100,5.91,GL,1675232182
301,araouane,18.9048,-3.5265,55.0,16,0,9.84,ML,1675232183
302,santa luzia,-19.7697,-43.8514,70.7,68,0,0.0,BR,1675232184
303,synya,65.3718,58.0387,22.53,92,100,13.87,RU,1675232185
304,lixourion,38.2019,20.4314,39.2,70,20,6.91,GR,1675232186
305,esperance,-33.8667,121.9,66.04,57,74,15.86,AU,1675232186
306,cochrane,51.1834,-114.4687,23.27,92,100,2.3,CA,1675232119
307,klaksvik,62.2266,-6.589,36.52,82,95,27.45,FO,1675232187
308,vila,42.0304,-8.1588,27.48,71,40,4.29,PT,1675232188
309,saint-pierre,-21.3393,55.4781,82.18,74,75,17.27,RE,1675232169
310,evensk,61.95,159.2333,11.12,96,100,4.92,RU,1675232190
311,okato,-39.2,173.8833,72.18,88,100,15.01,NZ,1675232190
312,mattru,7.6244,-11.8332,72.18,91,0,1.41,SL,1675232191
313,capinzal,-27.3436,-51.6119,66.34,98,54,1.9,BR,1675232191
314,tazovskiy,67.4667,78.7,9.32,94,100,17.74,RU,1675232192
315,itarema,-2.9248,-39.9167,76.68,90,53,11.14,BR,1675232193
316,taltal,-25.4,-70.4833,67.62,85,72,0.56,CL,1675232114
317,princeville,45.7668,-61.2985,21.9,85,75,8.05,CA,1675232194
318,krivosheino,57.3431,83.9261,6.31,93,67,3.53,RU,1675232194
319,sambava,-14.2667,50.1667,83.17,72,16,9.04,MG,1675231979
320,bure,10.7,37.0667,69.24,29,11,1.81,ET,1675232195
321,at-bashi,41.1702,75.8106,21.94,66,94,1.61,KG,1675232196
322,longyearbyen,78.2186,15.6401,15.64,67,75,10.36,SJ,1675232197
323,wallacetown,-46.3333,168.2667,61.09,98,100,2.68,NZ,1675232198
324,port-gentil,-0.7193,8.7815,80.13,81,37,13.62,GA,1675232199
325,monte gordo,37.1819,-7.4523,44.55,58,2,8.34,PT,1675232199
326,cherskiy,68.75,161.3,-13.13,100,58,5.17,RU,1675232200
327,berlevag,70.8578,29.0864,31.95,80,75,28.77,NO,1675232201
328,codrington,-38.2667,141.9667,63.19,44,92,13.82,AU,1675232021
329,college,64.8569,-147.8028,14.07,78,100,4.61,US,1675232202
330,cabatuan,10.8794,122.486,84.29,71,47,14.65,PH,1675232167
331,plouzane,48.3833,-4.6167,46.72,78,100,6.91,FR,1675232203
332,leningradskiy,69.3833,178.4167,4.46,96,100,10.2,RU,1675232067
333,chapais,49.7834,-74.8492,1.18,92,100,11.86,CA,1675232204
334,okhotsk,59.3833,143.3,0.86,96,100,11.83,RU,1675232205
335,darovskoy,58.77,47.9564,18.93,95,100,9.55,RU,1675232206
336,lompoc,34.6391,-120.4579,42.94,93,0,4.61,US,1675232206
337,bristol,41.8334,-71.1662,28.26,57,49,4.0,US,1675231681
338,ntungamo,-0.8833,29.65,75.49,45,82,1.28,UG,1675232207
339,lithakia,37.7167,20.8333,38.48,70,0,2.3,GR,1675232208
340,tambopata,-12.7333,-69.1833,71.06,99,91,1.12,PE,1675232209
341,buraydah,26.326,43.975,55.85,49,24,8.77,SA,1675232209
342,zasechnoye,53.1092,45.0764,28.67,90,98,8.93,RU,1675232210
343,itoigawa,37.0333,137.85,44.02,81,99,14.65,JP,1675232211
344,manggar,-2.8833,108.2667,83.55,72,99,8.23,ID,1675232212
345,beihai,21.4833,109.1,69.66,80,91,8.68,CN,1675232212
346,kibala,9.1104,18.3463,77.5,20,7,4.21,TD,1675232213
347,dunedin,-45.8742,170.5036,65.75,86,100,11.86,NZ,1675231809
348,broome,42.2506,-75.833,18.7,80,100,3.44,US,1675232073
349,red wing,44.5625,-92.5338,8.69,66,40,0.0,US,1675232184
